Time step, Pipe time, Rend time, Save time, Comp time
10, 3.8e-05, 0.261913, 1e-06, 1.06769
10, 0.000677, 0.208952, 0, 1.43267
20, 0.000893, 0.017131, 1e-06, 0.223853
20, 0.00084, 0.016503, 0, 0.206677
30, 0.000875, 0.017251, 1e-06, 0.204102
30, 0.00085, 0.014688, 0, 0.20529
40, 0.000881, 0.016708, 1e-06, 0.201737
40, 0.000591, 0.011073, 1e-06, 0.195554
50, 0.000925, 0.017263, 0, 0.197337
50, 0.000859, 0.016718, 0, 0.168164
60, 0.000598, 0.011071, 1e-06, 0.199917
60, 0.001401, 0.014163, 1e-06, 0.130865
70, 0.000595, 0.012087, 1e-06, 0.20559
70, 0.000574, 0.016146, 1e-06, 0.192709
80, 0.000644, 0.011169, 0, 0.178955
80, 0.000579, 0.011273, 1e-06, 0.173653
90, 0.000595, 0.011251, 0, 0.206176
90, 0.001401, 0.011019, 1e-06, 0.140839
100, 0.000544, 0.011424, 0, 0.204234
100, 0.000526, 0.011052, 2e-06, 0.199988
110, 0.000628, 0.011019, 1e-06, 0.195889
110, 0.000523, 0.011073, 0, 0.208694
120, 0.000547, 0.011448, 1e-06, 0.194392
120, 0.000568, 0.011161, 1e-06, 0.139169
130, 0.000871, 0.016526, 1e-06, 0.202783
130, 0.000527, 0.011231, 1e-06, 0.203184
140, 0.000545, 0.011, 0, 0.20009
140, 0.000594, 0.011564, 1e-06, 0.149949
150, 0.000876, 0.016651, 1e-06, 0.132446
150, 0.00063, 0.011786, 1e-06, 0.136971
160, 0.00064, 0.011097, 1e-06, 0.197626
160, 0.000565, 0.010954, 1e-06, 0.202174
170, 0.00058, 0.010987, 0, 0.138789
170, 0.000523, 0.010924, 0, 0.202671
180, 0.000547, 0.011527, 1e-06, 0.195932
180, 0.000625, 0.011547, 1e-06, 0.148201
190, 0.000588, 0.010863, 1e-06, 0.215131
190, 0.000632, 0.010656, 0, 0.159717
200, 0.000651, 0.0106, 1e-06, 0.197979
200, 0.00182, 0.021564, 1e-06, 0.184204
210, 0.000546, 0.011257, 0, 0.172681
210, 0.000618, 0.012248, 1e-06, 0.137766
220, 0.000641, 0.024236, 0, 0.121673
220, 0.000526, 0.011085, 1e-06, 0.188777
230, 0.000639, 0.011187, 0, 0.196205
230, 0.000633, 0.01221, 0, 0.202033
240, 0.000583, 0.011058, 0, 0.136774
240, 0.000522, 0.011059, 1e-06, 0.202594
250, 0.000541, 0.010935, 0, 0.162308
250, 0.000615, 0.010799, 1e-06, 0.137993
260, 0.000585, 0.01116, 1e-06, 0.176794
260, 0.000523, 0.01116, 0, 0.199123
270, 0.000588, 0.01117, 1e-06, 0.162085
270, 0.000527, 0.011156, 1e-06, 0.191331
280, 0.000545, 0.010991, 1e-06, 0.132021
280, 0.000569, 0.01154, 1e-06, 0.199885
290, 0.000639, 0.012018, 1e-06, 0.162766
290, 0.000561, 0.011422, 0, 0.189355
300, 0.000654, 0.01099, 1e-06, 0.203795
310, 0.000524, 0.010968, 1e-06, 0.189076
320, 0.000602, 0.011512, 0, 0.141784
330, 0.000522, 0.230018, 0, 1.44257
340, 0.001672, 0.018493, 0, 0.219177
350, 0.000849, 0.016813, 0, 0.210181
360, 0.000842, 0.016591, 1e-06, 0.166841
370, 0.000522, 0.011323, 0, 0.205489
380, 0.000844, 0.017086, 1e-06, 0.195114
390, 0.000843, 0.016688, 1e-06, 0.130638
400, 0.000532, 0.011277, 1e-06, 0.161702
