Time step, Pipe time, Rend time, Save time, Comp time
10, 3.9e-05, 0.237618, 0, 1.12211
10, 0.000852, 0.469344, 0, 1.13242
20, 0.001029, 0.197856, 0, 0.024686
20, 0.000979, 0.200804, 0, 0.021035
30, 0.001009, 0.190002, 1e-06, 0.036763
30, 0.000992, 0.130126, 0, 0.070597
40, 0.00103, 0.198012, 0, 0.004048
40, 0.00102, 0.196653, 0, 0.012056
50, 0.001024, 0.196184, 1e-06, 0.004046
50, 0.001042, 0.166358, 0, 0.035822
60, 0.000764, 0.1232, 0, 0.074276
60, 0.001038, 0.185115, 0, 0.014256
70, 0.000784, 0.136297, 1e-06, 0.070259
70, 0.001028, 0.130567, 1e-06, 0.070735
80, 0.00106, 0.196829, 0, 0.004654
80, 0.001036, 0.123103, 0, 0.072374
90, 0.000813, 0.122623, 0, 0.078926
90, 0.00087, 0.196933, 1e-06, 0.004169
100, 0.001012, 0.193041, 0, 0.00872
100, 0.000985, 0.129925, 1e-06, 0.070533
110, 0.000664, 0.126235, 0, 0.07693
110, 0.001022, 0.122887, 1e-06, 0.104578
120, 0.00076, 0.134044, 0, 0.067463
120, 0.000978, 0.178672, 1e-06, 0.020343
130, 0.000765, 0.123344, 0, 0.078243
130, 0.001016, 0.18942, 1e-06, 0.044374
140, 0.000641, 0.195312, 1e-06, 0.029033
140, 0.000753, 0.125551, 0, 0.079769
150, 0.000973, 0.125322, 0, 0.08128
150, 0.00075, 0.124744, 1e-06, 0.079342
160, 0.001282, 0.191625, 0, 0.015929
160, 0.000981, 0.159714, 0, 0.039081
170, 0.001061, 0.123773, 0, 0.077151
170, 0.00102, 0.123107, 0, 0.078965
180, 0.001005, 0.124067, 0, 0.078964
180, 0.000613, 0.12586, 1e-06, 0.098139
190, 0.000759, 0.203972, 0, 0.003389
190, 0.000983, 0.188446, 0, 0.00412
200, 0.000756, 0.183074, 0, 0.01294
200, 0.000742, 0.122734, 0, 0.078725
210, 0.000788, 0.166921, 1e-06, 0.003747
210, 0.000997, 0.12574, 0, 0.02586
220, 0.000765, 0.124496, 1e-06, 0.070411
220, 0.000742, 0.123907, 1e-06, 0.076758
230, 0.00077, 0.186, 0, 0.012858
230, 0.000754, 0.125326, 0, 0.075248
240, 0.001086, 0.192354, 1e-06, 0.008689
240, 0.001032, 0.19646, 2e-06, 0.006435
250, 0.001065, 0.192277, 1e-06, 0.003552
250, 0.001006, 0.159727, 0, 0.042609
260, 0.001057, 0.10323, 1e-06, 0.072162
260, 0.000734, 0.096116, 0, 0.106304
270, 0.000755, 0.101221, 0, 0.100255
270, 0.001092, 0.14834, 0, 0.041963
280, 0.001059, 0.149172, 0, 0.010729
280, 0.000605, 0.152985, 1e-06, 0.047052
290, 0.001001, 0.128401, 0, 0.060095
290, 0.000715, 0.095255, 0, 0.093674
300, 0.00077, 0.101839, 0, 0.101646
310, 0.000736, 0.154397, 0, 0.047591
