Time step, Pipe time, Rend time, Save time, Comp time
10, 3.2e-05, 0.235887, 0, 1.13827
10, 0.000638, 0.199902, 0, 1.45385
20, 0.00088, 0.016836, 1e-06, 0.206049
20, 0.000839, 0.016821, 1e-06, 0.205122
30, 0.000871, 0.016723, 1e-06, 0.210524
30, 0.000528, 0.012606, 0, 0.167584
40, 0.000551, 0.012639, 1e-06, 0.134316
40, 0.000532, 0.012494, 1e-06, 0.197219
50, 0.000878, 0.01675, 0, 0.173108
50, 0.000529, 0.012744, 0, 0.183237
60, 0.000543, 0.012645, 0, 0.132468
60, 0.000653, 0.012774, 1e-06, 0.176409
70, 0.000616, 0.012659, 1e-06, 0.131502
70, 0.000534, 0.012634, 0, 0.169767
80, 0.00059, 0.012993, 1e-06, 0.132184
80, 0.000532, 0.012861, 1e-06, 0.132888
90, 0.000547, 0.012937, 0, 0.131108
90, 0.00062, 0.012462, 1e-06, 0.177712
100, 0.000548, 0.012374, 1e-06, 0.178229
100, 0.000649, 0.012799, 0, 0.13465
110, 0.000883, 0.016747, 1e-06, 0.185967
110, 0.000603, 0.012662, 1e-06, 0.215027
120, 0.000552, 0.012983, 1e-06, 0.160938
120, 0.000529, 0.013115, 1e-06, 0.186725
130, 0.000543, 0.012363, 1e-06, 0.172163
130, 0.000534, 0.01287, 1e-06, 0.220852
140, 0.000544, 0.012866, 1e-06, 0.212526
140, 0.000525, 0.012684, 1e-06, 0.193089
150, 0.000546, 0.012703, 0, 0.133048
150, 0.000616, 0.012823, 2e-06, 0.184447
160, 0.000948, 0.016846, 1e-06, 0.128629
160, 0.000525, 0.012504, 1e-06, 0.137505
170, 0.000546, 0.012613, 1e-06, 0.133406
170, 0.000629, 0.012562, 0, 0.141803
180, 0.000621, 0.012542, 0, 0.13196
180, 0.000524, 0.012485, 1e-06, 0.212619
190, 0.000542, 0.012534, 1e-06, 0.171231
190, 0.000526, 0.012587, 0, 0.180304
200, 0.000563, 0.012796, 1e-06, 0.132588
200, 0.000528, 0.012533, 1e-06, 0.131667
210, 0.000543, 0.012662, 0, 0.133805
210, 0.00055, 0.012659, 1e-06, 0.13939
220, 0.000542, 0.012683, 1e-06, 0.133335
220, 0.000525, 0.012639, 0, 0.133984
230, 0.000545, 0.012719, 1e-06, 0.185874
230, 0.000526, 0.012541, 1e-06, 0.15852
240, 0.000548, 0.012626, 1e-06, 0.171838
240, 0.000568, 0.012784, 1e-06, 0.189026
250, 0.00054, 0.012641, 0, 0.133611
250, 0.000838, 0.016589, 1e-06, 0.185686
260, 0.000542, 0.012608, 1e-06, 0.125764
260, 0.000526, 0.012613, 0, 0.188959
270, 0.000539, 0.012513, 0, 0.189231
270, 0.000633, 0.012373, 1e-06, 0.1172
280, 0.000621, 0.012668, 1e-06, 0.118603
280, 0.000529, 0.011866, 0, 0.189831
290, 0.000588, 0.012609, 0, 0.162705
290, 0.000523, 0.012563, 0, 0.172899
300, 0.000542, 0.012822, 0, 0.164764
310, 0.000524, 0.012869, 1e-06, 0.178627
320, 0.000548, 0.012639, 1e-06, 0.16487
330, 0.000523, 0.212447, 1e-06, 1.4697
340, 0.000847, 0.016815, 0, 0.19323
350, 0.000858, 0.017099, 1e-06, 0.180515
360, 0.000524, 0.012631, 1e-06, 0.166634
370, 0.000529, 0.012672, 1e-06, 0.12916
380, 0.000853, 0.016981, 1e-06, 0.130278
390, 0.00053, 0.012567, 1e-06, 0.183715
400, 0.000525, 0.0126, 1e-06, 0.170252
410, 0.000533, 0.012827, 1e-06, 0.265062
420, 0.000526, 0.012717, 1e-06, 0.115361
430, 0.000526, 0.012821, 1e-06, 0.198358
440, 0.000529, 0.012891, 0, 0.197923
450, 0.000526, 0.012625, 1e-06, 0.176999
460, 0.000528, 0.012698, 0, 0.122058
470, 0.000637, 0.012555, 1e-06, 0.17931
480, 0.000528, 0.012734, 0, 0.191119
490, 0.000844, 0.017135, 1e-06, 0.161707
500, 0.000531, 0.012807, 2e-06, 0.165382
510, 0.000949, 0.017028, 1e-06, 0.186665
520, 0.000547, 0.012827, 0, 0.18814
530, 0.000659, 0.012601, 1e-06, 0.119225
540, 0.000546, 0.022809, 1e-06, 0.174904
550, 0.000548, 0.012493, 1e-06, 0.177967
560, 0.000544, 0.012712, 0, 0.170533
570, 0.00066, 0.012617, 0, 0.11829
580, 0.000551, 0.013015, 1e-06, 0.120676
590, 0.000547, 0.012815, 1e-06, 0.190125
610, 0.000554, 0.01286, 0, 0.152939
620, 0.000553, 0.012639, 1e-06, 0.183773
630, 0.00055, 0.012562, 1e-06, 0.18246
640, 0.000522, 0.198933, 0, 1.45721
650, 0.000842, 0.016606, 1e-06, 0.188792
660, 0.000845, 0.017044, 1e-06, 0.183193
670, 0.000847, 0.013353, 1e-06, 0.183979
680, 0.000535, 0.022642, 0, 0.179238
690, 0.000848, 0.016946, 0, 0.186294
700, 0.000527, 0.012689, 1e-06, 0.186275
710, 0.000525, 0.012072, 0, 0.18772
720, 0.000622, 0.012581, 1e-06, 0.166055
730, 0.000527, 0.012628, 1e-06, 0.186888
740, 0.000523, 0.01243, 1e-06, 0.188039
750, 0.000567, 0.012669, 1e-06, 0.155299
760, 0.000525, 0.01267, 0, 0.176633
770, 0.000528, 0.023995, 1e-06, 0.106307
780, 0.000847, 0.016143, 1e-06, 0.119293
790, 0.000634, 0.012548, 0, 0.191537
800, 0.00057, 0.012526, 1e-06, 0.15279
810, 0.000528, 0.012881, 0, 0.192035
820, 0.000525, 0.012554, 1e-06, 0.191964
830, 0.000845, 0.01683, 1e-06, 0.163246
840, 0.000522, 0.012479, 1e-06, 0.191884
850, 0.000563, 0.012546, 1e-06, 0.168013
860, 0.000655, 0.012787, 0, 0.173066
870, 0.000633, 0.012473, 1e-06, 0.184649
880, 0.00053, 0.012779, 0, 0.127629
890, 0.000526, 0.012568, 1e-06, 0.147782
910, 0.000528, 0.012788, 1e-06, 0.117534
920, 0.000525, 0.012663, 0, 0.185578
930, 0.000527, 0.012834, 1e-06, 0.192251
940, 0.000633, 0.012922, 0, 0.115239
950, 0.000522, 0.209444, 0, 1.4389
960, 0.000849, 0.016791, 1e-06, 0.187201
970, 0.000844, 0.016776, 0, 0.185837
980, 0.000563, 0.012595, 0, 0.191526
990, 0.000525, 0.012599, 1e-06, 0.1855
1000, 0.000566, 0.012508, 0, 0.187727
1010, 0.00057, 0.01259, 1e-06, 0.184099
1020, 0.000596, 0.01274, 1e-06, 0.192297
1030, 0.000581, 0.012488, 1e-06, 0.181424
1040, 0.000524, 0.024144, 1e-06, 0.116729
1050, 0.000525, 0.012653, 0, 0.181055
1060, 0.000566, 0.01287, 1e-06, 0.160201
1070, 0.000631, 0.012532, 0, 0.18473
1080, 0.000527, 0.024897, 1e-06, 0.169547
1090, 0.000525, 0.012648, 1e-06, 0.122956
1100, 0.000526, 0.01228, 1e-06, 0.115755
1110, 0.000567, 0.012878, 1e-06, 0.117598
1120, 0.000559, 0.012443, 1e-06, 0.116841
1130, 0.000636, 0.012473, 0, 0.127677
1140, 0.000526, 0.012381, 1e-06, 0.119924
1150, 0.000562, 0.012432, 1e-06, 0.123869
1160, 0.000531, 0.012874, 0, 0.178317
1170, 0.00053, 0.012843, 0, 0.12025
1180, 0.000568, 0.01291, 0, 0.18095
1190, 0.000522, 0.012589, 0, 0.135433
1210, 0.000528, 0.012588, 1e-06, 0.123767
1220, 0.000557, 0.012667, 0, 0.161884
1230, 0.000526, 0.012247, 1e-06, 0.172765
1240, 0.000523, 0.012495, 0, 0.118882
1250, 0.000534, 0.022952, 1e-06, 0.115533
1260, 0.000522, 0.214407, 0, 1.43442
1270, 0.000887, 0.017261, 1e-06, 0.187454
1280, 0.000878, 0.016747, 1e-06, 0.178917
1290, 0.000659, 0.012759, 1e-06, 0.189605
1300, 0.000548, 0.012588, 1e-06, 0.17316
1310, 0.000545, 0.012553, 1e-06, 0.149899
1320, 0.000548, 0.012951, 1e-06, 0.192257
1330, 0.000548, 0.012658, 1e-06, 0.133563
1340, 0.000546, 0.023182, 0, 0.17969
1350, 0.000869, 0.017076, 1e-06, 0.182888
1360, 0.000544, 0.012536, 1e-06, 0.12733
1370, 0.000546, 0.012621, 0, 0.167223
1380, 0.000552, 0.012689, 0, 0.127043
1390, 0.000546, 0.012534, 1e-06, 0.190785
1400, 0.000555, 0.01284, 1e-06, 0.189125
1410, 0.000542, 0.012681, 1e-06, 0.12206
1420, 0.0006, 0.01283, 0, 0.115125
1430, 0.000654, 0.012577, 1e-06, 0.118133
1440, 0.000651, 0.012487, 0, 0.117166
1450, 0.000636, 0.012548, 0, 0.120658
