Time step, Pipe time, Rend time, Save time, Comp time
10, 3.7e-05, 0.269769, 0, 1.06635
10, 0.000781, 0.471016, 0, 1.12491
20, 0.000962, 0.196212, 0, 0.026495
20, 0.000923, 0.192658, 0, 0.029183
30, 0.000957, 0.192176, 1e-06, 0.034896
30, 0.000944, 0.185583, 1e-06, 0.015763
40, 0.000694, 0.170677, 1e-06, 0.03198
40, 0.000925, 0.194797, 0, 0.014735
50, 0.000965, 0.125246, 1e-06, 0.075085
50, 0.000715, 0.198056, 0, 0.004143
60, 0.000954, 0.189865, 0, 0.007286
60, 0.000713, 0.124968, 0, 0.074785
70, 0.000727, 0.185199, 0, 0.022109
70, 0.000702, 0.130715, 0, 0.071329
80, 0.000639, 0.126937, 0, 0.075193
80, 0.000935, 0.191771, 0, 0.004109
90, 0.000975, 0.144439, 0, 0.05718
90, 0.000999, 0.196385, 0, 0.004625
100, 0.000958, 0.136034, 0, 0.066048
100, 0.000947, 0.191931, 0, 0.008845
110, 0.000975, 0.137202, 0, 0.065634
110, 0.000586, 0.186189, 1e-06, 0.041616
120, 0.000742, 0.197158, 1e-06, 0.004136
120, 0.000946, 0.131755, 0, 0.067789
130, 0.000749, 0.191619, 0, 0.011659
130, 0.000704, 0.125378, 0, 0.10846
140, 0.000662, 0.195162, 1e-06, 0.028856
140, 0.000706, 0.129868, 1e-06, 0.075032
150, 0.000629, 0.196601, 1e-06, 0.010264
150, 0.001039, 0.126131, 0, 0.07759
160, 0.000961, 0.164536, 1e-06, 0.043235
160, 0.000624, 0.127852, 1e-06, 0.071224
170, 0.000646, 0.125904, 0, 0.075436
170, 0.000618, 0.19773, 0, 0.006528
180, 0.000965, 0.189798, 1e-06, 0.013686
180, 0.000935, 0.133807, 1e-06, 0.089413
190, 0.000696, 0.127268, 1e-06, 0.080185
190, 0.000712, 0.126918, 0, 0.065746
200, 0.000709, 0.128558, 0, 0.06701
200, 0.000704, 0.197555, 0, 0.003494
210, 0.000739, 0.136065, 0, 0.034097
210, 0.000881, 0.133221, 0, 0.018673
220, 0.000967, 0.136967, 1e-06, 0.05716
220, 0.000668, 0.197519, 0, 0.003617
230, 0.000734, 0.130548, 0, 0.068508
230, 0.00073, 0.127819, 0, 0.073431
240, 0.001056, 0.125807, 1e-06, 0.075148
240, 0.000606, 0.135315, 1e-06, 0.068568
250, 0.001022, 0.127329, 1e-06, 0.068145
250, 0.000704, 0.126103, 1e-06, 0.076137
260, 0.000666, 0.124951, 0, 0.050577
260, 0.000648, 0.149455, 1e-06, 0.052876
270, 0.000881, 0.124969, 0, 0.076393
270, 0.000957, 0.167177, 0, 0.023283
280, 0.000674, 0.134932, 0, 0.025127
280, 0.000647, 0.183928, 0, 0.016532
290, 0.000605, 0.127458, 0, 0.061437
290, 0.000974, 0.129613, 0, 0.058495
300, 0.000652, 0.200092, 0, 0.00363
310, 0.000936, 0.192565, 1e-06, 0.009509
320, 0.00097, 0.175544, 1e-06, 0.00342
330, 0.000605, 0.4932, 0, 1.13471
340, 0.000946, 0.202773, 1e-06, 0.007073
350, 0.000937, 0.198855, 0, 0.004524
360, 0.000936, 0.197775, 1e-06, 0.004639
370, 0.00094, 0.15824, 1e-06, 0.042322
380, 0.000735, 0.122846, 0, 0.079125
390, 0.000705, 0.124407, 1e-06, 0.071502
400, 0.000934, 0.195751, 1e-06, 0.004135
410, 0.000934, 0.160849, 0, 0.116143
420, 0.000984, 0.164503, 0, 0.032917
430, 0.000956, 0.190723, 0, 0.020488
440, 0.00094, 0.176012, 0, 0.034391
450, 0.000633, 0.197251, 1e-06, 0.005746
460, 0.000607, 0.124463, 1e-06, 0.066709
470, 0.000686, 0.133856, 1e-06, 0.06803
480, 0.00062, 0.127679, 1e-06, 0.076278
490, 0.000649, 0.136002, 0, 0.06596
500, 0.000654, 0.135634, 0, 0.058169
510, 0.000652, 0.132686, 0, 0.07043
520, 0.00074, 0.134502, 1e-06, 0.065702
530, 0.001024, 0.188752, 0, 0.003762
540, 0.000935, 0.13139, 1e-06, 0.065907
550, 0.000853, 0.137495, 0, 0.055279
560, 0.000734, 0.127516, 1e-06, 0.06508
570, 0.000988, 0.193269, 0, 0.002898
580, 0.000947, 0.130261, 0, 0.071993
590, 0.000687, 0.127985, 0, 0.075194
610, 0.000718, 0.126049, 1e-06, 0.074317
620, 0.000989, 0.13504, 0, 0.060808
630, 0.000732, 0.12737, 1e-06, 0.080597
640, 0.000804, 0.460987, 0, 1.17263
650, 0.000947, 0.190284, 0, 0.015
660, 0.000961, 0.194687, 0, 0.009778
