Time step, Pipe time, Rend time, Save time, Comp time
10, 3.1e-05, 0.259927, 0, 1.07812
10, 0.000732, 0.39895, 1e-06, 1.20597
20, 0.001006, 0.191869, 0, 0.030708
20, 0.000962, 0.195752, 1e-06, 0.026043
30, 0.000989, 0.161224, 0, 0.066054
30, 0.000749, 0.123217, 0, 0.078436
40, 0.000628, 0.124452, 1e-06, 0.078471
40, 0.000724, 0.196509, 0, 0.011887
50, 0.001038, 0.190092, 1e-06, 0.009856
50, 0.000974, 0.126717, 1e-06, 0.075387
60, 0.000746, 0.165441, 1e-06, 0.031892
60, 0.000971, 0.125853, 1e-06, 0.07364
70, 0.000993, 0.186003, 1e-06, 0.020944
70, 0.000964, 0.197171, 0, 0.004322
80, 0.000994, 0.196651, 1e-06, 0.004883
80, 0.000974, 0.157797, 0, 0.03818
90, 0.000752, 0.18206, 1e-06, 0.019381
90, 0.000722, 0.13235, 1e-06, 0.069136
100, 0.000706, 0.128833, 0, 0.073509
100, 0.000755, 0.196022, 1e-06, 0.004697
110, 0.000747, 0.125119, 1e-06, 0.077919
110, 0.000758, 0.196849, 1e-06, 0.030566
120, 0.000762, 0.124483, 0, 0.076944
120, 0.000964, 0.125734, 0, 0.073722
130, 0.000766, 0.122887, 0, 0.080243
130, 0.000738, 0.134255, 0, 0.099402
140, 0.000748, 0.195355, 0, 0.02862
140, 0.000729, 0.124534, 0, 0.080896
150, 0.000752, 0.132252, 0, 0.074601
150, 0.000772, 0.124315, 0, 0.079661
160, 0.000758, 0.204212, 0, 0.003707
160, 0.000734, 0.1229, 0, 0.076118
170, 0.000681, 0.198082, 1e-06, 0.003217
170, 0.000725, 0.126666, 0, 0.07808
180, 0.000763, 0.198508, 1e-06, 0.004649
180, 0.001019, 0.186909, 1e-06, 0.036541
190, 0.000751, 0.195931, 1e-06, 0.011473
190, 0.000975, 0.127667, 1e-06, 0.064781
200, 0.000755, 0.124661, 1e-06, 0.070885
200, 0.001007, 0.190095, 0, 0.010624
210, 0.001004, 0.125187, 0, 0.044696
210, 0.000732, 0.147808, 1e-06, 0.004204
220, 0.001001, 0.190039, 0, 0.003956
220, 0.000729, 0.197164, 0, 0.003917
230, 0.00076, 0.195174, 1e-06, 0.003784
230, 0.000968, 0.177741, 0, 0.023324
240, 0.000751, 0.197492, 1e-06, 0.003722
