Time step, Pipe time, Rend time, Save time, Comp time
10, 3.2e-05, 0.239246, 0, 1.10503
10, 0.000808, 0.432341, 0, 1.14507
20, 0.001019, 0.191566, 1e-06, 0.030952
20, 0.000976, 0.198334, 1e-06, 0.023456
30, 0.001025, 0.143799, 1e-06, 0.083388
30, 0.000987, 0.192154, 0, 0.007693
40, 0.001018, 0.192057, 1e-06, 0.009006
40, 0.000976, 0.191039, 2e-06, 0.017808
50, 0.000692, 0.196343, 0, 0.004188
50, 0.001031, 0.166447, 0, 0.035671
60, 0.000639, 0.126104, 1e-06, 0.071404
60, 0.000739, 0.12767, 0, 0.072348
70, 0.001022, 0.19774, 0, 0.007746
70, 0.001026, 0.189555, 1e-06, 0.011512
80, 0.001019, 0.169965, 0, 0.031841
80, 0.000625, 0.127729, 0, 0.066882
90, 0.001019, 0.127371, 1e-06, 0.074029
90, 0.001036, 0.137404, 0, 0.063872
100, 0.000686, 0.197893, 0, 0.004221
100, 0.000989, 0.195907, 1e-06, 0.004388
110, 0.001003, 0.137786, 0, 0.064852
110, 0.001024, 0.198385, 1e-06, 0.028956
120, 0.000642, 0.12756, 0, 0.074112
120, 0.000716, 0.127381, 0, 0.071834
130, 0.000868, 0.125673, 0, 0.077145
130, 0.001, 0.197787, 1e-06, 0.035669
140, 0.000648, 0.127974, 0, 0.096392
140, 0.000719, 0.141535, 1e-06, 0.063802
150, 0.001031, 0.133075, 1e-06, 0.073512
150, 0.000734, 0.126718, 0, 0.077368
160, 0.00106, 0.190287, 1e-06, 0.017441
160, 0.001096, 0.149853, 1e-06, 0.048751
170, 0.001063, 0.133703, 0, 0.067242
170, 0.000614, 0.197889, 0, 0.004537
180, 0.000698, 0.191406, 0, 0.01189
180, 0.001041, 0.134928, 0, 0.088198
190, 0.000683, 0.199308, 0, 0.008224
190, 0.001039, 0.155371, 0, 0.037054
200, 0.001017, 0.191654, 1e-06, 0.003996
200, 0.001017, 0.185103, 0, 0.015842
210, 0.001076, 0.167439, 1e-06, 0.002835
210, 0.000723, 0.133993, 0, 0.018068
220, 0.0007, 0.13014, 0, 0.064841
220, 0.000674, 0.137281, 0, 0.063492
230, 0.001022, 0.189865, 0, 0.008512
230, 0.000712, 0.194783, 1e-06, 0.006497
240, 0.000628, 0.126663, 1e-06, 0.074928
240, 0.001024, 0.126748, 0, 0.076716
250, 0.00064, 0.136389, 1e-06, 0.059956
250, 0.000738, 0.126796, 1e-06, 0.075796
260, 0.000997, 0.147429, 0, 0.027838
260, 0.000932, 0.154608, 1e-06, 0.047363
270, 0.000994, 0.15381, 0, 0.047336
270, 0.001023, 0.099426, 0, 0.09097
280, 0.001004, 0.126209, 0, 0.033704
280, 0.000969, 0.109066, 0, 0.090693
290, 0.001045, 0.153909, 1e-06, 0.034483
290, 0.000663, 0.097593, 6e-06, 0.091382
300, 0.001003, 0.153585, 1e-06, 0.049576
310, 0.000971, 0.149262, 1e-06, 0.052499
320, 0.000998, 0.116448, 0, 0.062463
330, 0.00059, 0.455436, 0, 1.15152
340, 0.000979, 0.151337, 0, 0.05835
350, 0.000972, 0.154131, 1e-06, 0.049072
360, 0.000962, 0.15443, 1e-06, 0.04785
370, 0.000963, 0.147099, 1e-06, 0.052999
380, 0.000965, 0.154351, 1e-06, 0.047081
390, 0.000601, 0.097401, 1e-06, 0.098764
400, 0.000988, 0.152572, 1e-06, 0.047432
410, 0.000607, 0.101071, 1e-06, 0.176924
420, 0.00066, 0.103355, 1e-06, 0.093994
430, 0.00061, 0.151795, 0, 0.059543
440, 0.000952, 0.162006, 0, 0.048144
450, 0.000955, 0.122509, 1e-06, 0.080063
460, 0.000955, 0.145583, 1e-06, 0.045004
470, 0.000945, 0.14744, 0, 0.053908
480, 0.001056, 0.155929, 0, 0.046818
490, 0.000643, 0.153536, 0, 0.048066
500, 0.000595, 0.100886, 1e-06, 0.092805
510, 0.000949, 0.148938, 1e-06, 0.05306
520, 0.000992, 0.097573, 1e-06, 0.101887
530, 0.000623, 0.102604, 1e-06, 0.090238
540, 0.000955, 0.154615, 0, 0.042634
550, 0.000937, 0.147322, 0, 0.045711
560, 0.000979, 0.148485, 0, 0.044124
570, 0.000981, 0.106764, 0, 0.089596
580, 0.0006, 0.11364, 0, 0.089005
590, 0.000673, 0.107527, 0, 0.094813
610, 0.000642, 0.100843, 0, 0.100542
620, 0.000593, 0.099619, 1e-06, 0.096769
630, 0.000709, 0.109146, 0, 0.098992
640, 0.000737, 0.403461, 0, 1.18506
650, 0.000935, 0.15351, 0, 0.051649
660, 0.000952, 0.149245, 1e-06, 0.054916
670, 0.000595, 0.100223, 1e-06, 0.102273
680, 0.000695, 0.097602, 0, 0.104238
690, 0.000598, 0.099576, 1e-06, 0.109865
700, 0.000644, 0.10039, 1e-06, 0.098377
710, 0.000693, 0.096933, 0, 0.10709
720, 0.0006, 0.110014, 0, 0.091444
730, 0.00094, 0.148018, 1e-06, 0.055596
740, 0.000942, 0.146422, 1e-06, 0.054886
750, 0.000993, 0.153815, 1e-06, 0.047424
760, 0.000737, 0.1549, 1e-06, 0.034395
770, 0.000709, 0.07333, 0, 0.084931
780, 0.000934, 0.104607, 1e-06, 0.101349
790, 0.000951, 0.073949, 1e-06, 0.128499
800, 0.000586, 0.074519, 1e-06, 0.127889
810, 0.000594, 0.071821, 0, 0.132712
820, 0.000938, 0.103062, 1e-06, 0.100795
830, 0.000593, 0.071202, 1e-06, 0.122393
840, 0.000966, 0.078051, 1e-06, 0.125863
850, 0.000826, 0.072789, 1e-06, 0.124836
860, 0.00094, 0.078246, 1e-06, 0.109425
870, 0.001034, 0.10258, 0, 0.099109
880, 0.000637, 0.072419, 1e-06, 0.123382
890, 0.000935, 0.104361, 1e-06, 0.094823
910, 0.000594, 0.071955, 1e-06, 0.126402
920, 0.000931, 0.111131, 0, 0.093735
930, 0.001062, 0.078981, 1e-06, 0.125301
940, 0.000932, 0.109846, 1e-06, 0.092318
950, 0.00057, 0.388934, 0, 1.20326
960, 0.000927, 0.110033, 1e-06, 0.095501
970, 0.000926, 0.110099, 0, 0.091752
980, 0.000925, 0.109676, 1e-06, 0.094205
990, 0.000939, 0.117624, 0, 0.079756
1000, 0.00098, 0.107405, 1e-06, 0.094
1010, 0.000704, 0.072151, 1e-06, 0.13175
1020, 0.000588, 0.075232, 0, 0.130427
1030, 0.000958, 0.071076, 1e-06, 0.122311
1040, 0.000916, 0.104159, 1e-06, 0.097176
1050, 0.000622, 0.110497, 0, 0.083619
1060, 0.000728, 0.110898, 1e-06, 0.088199
1070, 0.000973, 0.109877, 1e-06, 0.086712
1080, 0.000626, 0.081046, 0, 0.118851
1090, 0.000624, 0.078688, 0, 0.126534
1100, 0.000913, 0.078398, 0, 0.119789
1110, 0.000685, 0.110086, 1e-06, 0.086484
1120, 0.000951, 0.110073, 0, 0.023067
1130, 0.000922, 0.089459, 1e-06, 0.107076
1140, 0.001018, 0.103525, 1e-06, 0.097436
1150, 0.00063, 0.071801, 0, 0.129867
1160, 0.000914, 0.078254, 0, 0.122759
1170, 0.000626, 0.111035, 0, 0.087331
1180, 0.000598, 0.072167, 1e-06, 0.123692
1190, 0.000588, 0.11012, 0, 0.094358
1210, 0.000588, 0.101102, 1e-06, 0.095732
1220, 0.000616, 0.07912, 1e-06, 0.118456
1230, 0.000688, 0.109839, 1e-06, 0.075313
1240, 0.000908, 0.074519, 0, 0.114201
1250, 0.000998, 0.104147, 1e-06, 0.059746
1260, 0.000554, 0.314866, 0, 1.29998
1270, 0.000912, 0.1095, 1e-06, 0.095103
1280, 0.000902, 0.106219, 1e-06, 0.095196
1290, 0.000927, 0.111402, 0, 0.094783
1300, 0.000899, 0.104089, 1e-06, 0.098928
1310, 0.000897, 0.103982, 0, 0.098231
1320, 0.000802, 0.071896, 0, 0.131542
1330, 0.00091, 0.108903, 0, 0.088306
1340, 0.000564, 0.110326, 1e-06, 0.092957
1350, 0.000619, 0.073364, 0, 0.129323
1360, 0.000608, 0.070606, 1e-06, 0.130831
1370, 0.000567, 0.110979, 0, 0.075529
1380, 0.000898, 0.075103, 0, 0.127588
1390, 0.000689, 0.069501, 1e-06, 0.13342
1400, 0.000892, 0.10423, 1e-06, 0.097107
1410, 0.000661, 0.110428, 0, 0.087465
1420, 0.000568, 0.109791, 1e-06, 0.072558
1430, 0.000883, 0.109418, 1e-06, 0.086744
1440, 0.000975, 0.102984, 1e-06, 0.091855
1450, 0.000594, 0.073741, 0, 0.125708
