Index,Entropy
0,1.64827
1,1.77417
2,1.41499
3,1.08453
4,1.0368
5,0
6,0
7,0.448714
8,0
9,0
10,0
11,0
12,0.423931
13,0
14,0
15,0
16,1.41146
17,1.30279
18,1.0241
19,0.990348
20,1.72638
21,1.03718
22,0
23,0
24,0
