Index,Entropy
0,1.64827
1,1.77417
2,1.41499
3,1.08453
4,1.0368
5,0
6,3.94993
7,0.867994
8,0
9,0
10,5.2812
11,4.99171
12,4.01526
13,0
14,0
15,5.13243
16,5.27496
17,4.64045
18,1.0241
19,0.990348
20,4.88185
21,1.03718
22,0
23,0
24,0
