Time step, Pipe time, Rend time, Save time, Comp time
10, 2.9e-05, 0.261718, 0, 1.06675
10, 0.000901, 0.470246, 0, 1.10453
20, 0.001003, 0.191814, 0, 0.030731
20, 0.000971, 0.198851, 0, 0.022915
30, 0.000996, 0.19114, 0, 0.035919
30, 0.000979, 0.19557, 1e-06, 0.005467
40, 0.000734, 0.192227, 0, 0.010372
40, 0.000974, 0.195346, 1e-06, 0.012385
50, 0.001003, 0.18928, 0, 0.011023
50, 0.000666, 0.127746, 0, 0.074837
60, 0.000997, 0.182144, 0, 0.01512
60, 0.001016, 0.195217, 0, 0.004233
70, 0.000996, 0.143565, 1e-06, 0.063403
70, 0.00074, 0.123968, 1e-06, 0.077639
80, 0.000638, 0.196986, 0, 0.004776
80, 0.000647, 0.127474, 0, 0.068506
90, 0.000859, 0.198118, 0, 0.003381
90, 0.000737, 0.127097, 0, 0.074438
100, 0.000678, 0.151019, 1e-06, 0.051111
100, 0.000972, 0.132895, 0, 0.06762
110, 0.000628, 0.129389, 1e-06, 0.073645
110, 0.001014, 0.129965, 0, 0.097635
120, 0.000632, 0.135963, 0, 0.065786
120, 0.000974, 0.185259, 0, 0.013701
130, 0.000758, 0.184244, 1e-06, 0.018747
130, 0.000662, 0.137732, 0, 0.096397
140, 0.001006, 0.190429, 1e-06, 0.033359
140, 0.000971, 0.132068, 0, 0.073023
150, 0.000644, 0.203286, 1e-06, 0.003608
150, 0.00098, 0.200095, 1e-06, 0.003673
160, 0.000671, 0.125391, 1e-06, 0.082793
160, 0.000609, 0.132544, 1e-06, 0.066569
170, 0.000632, 0.137067, 0, 0.064328
170, 0.001005, 0.123192, 1e-06, 0.078318
180, 0.000685, 0.126482, 0, 0.076855
180, 0.000612, 0.20077, 1e-06, 0.022625
190, 0.000668, 0.153535, 1e-06, 0.05403
190, 0.000979, 0.160224, 1e-06, 0.03228
200, 0.001015, 0.191973, 0, 0.0036
200, 0.000733, 0.121817, 1e-06, 0.079487
210, 0.00064, 0.127988, 0, 0.042693
210, 0.001008, 0.133394, 0, 0.017827
220, 0.001014, 0.137762, 1e-06, 0.05609
220, 0.000977, 0.187908, 0, 0.012588
230, 0.00074, 0.124873, 1e-06, 0.073859
230, 0.001022, 0.19047, 1e-06, 0.010973
240, 0.000996, 0.128056, 0, 0.073173
240, 0.000615, 0.129119, 0, 0.074782
250, 0.000628, 0.138936, 1e-06, 0.057401
250, 0.000957, 0.181042, 0, 0.021322
260, 0.000618, 0.099347, 1e-06, 0.076449
260, 0.001005, 0.149672, 1e-06, 0.052206
270, 0.000985, 0.107081, 1e-06, 0.09415
270, 0.000664, 0.153628, 0, 0.037058
280, 0.001029, 0.156283, 0, 0.003629
280, 0.000991, 0.147276, 1e-06, 0.052364
290, 0.00099, 0.112138, 1e-06, 0.076383
290, 0.000996, 0.140638, 1e-06, 0.048017
