Time step, Pipe time, Rend time, Save time, Comp time
10, 3.6e-05, 0.242819, 0, 1.11591
10, 0.000662, 0.211236, 0, 1.43264
20, 0.000908, 0.01709, 0, 0.226485
20, 0.00055, 0.010815, 1e-06, 0.216204
30, 0.000667, 0.012174, 2e-06, 0.205427
30, 0.000935, 0.017205, 1e-06, 0.196283
40, 0.000634, 0.011877, 0, 0.209145
40, 0.000576, 0.015764, 1e-06, 0.200299
50, 0.00062, 0.011471, 1e-06, 0.201995
50, 0.000671, 0.011288, 0, 0.207427
60, 0.000666, 0.011466, 1e-06, 0.196411
60, 0.000664, 0.01177, 1e-06, 0.190356
70, 0.000574, 0.011655, 0, 0.190345
70, 0.000558, 0.011288, 0, 0.138555
80, 0.00067, 0.011423, 0, 0.205628
80, 0.001207, 0.018456, 1e-06, 0.189384
90, 0.000622, 0.011343, 0, 0.15258
90, 0.000599, 0.011407, 0, 0.201419
100, 0.000614, 0.01137, 0, 0.202274
100, 0.000551, 0.011531, 1e-06, 0.197587
110, 0.001056, 0.017456, 0, 0.138873
110, 0.000642, 0.0115, 1e-06, 0.191169
120, 0.000667, 0.011158, 1e-06, 0.209468
120, 0.000549, 0.011457, 1e-06, 0.18158
130, 0.000566, 0.011026, 1e-06, 0.20094
130, 0.000594, 0.020329, 1e-06, 0.185005
140, 0.000612, 0.010973, 0, 0.208507
140, 0.000661, 0.012327, 1e-06, 0.142408
150, 0.000613, 0.011207, 1e-06, 0.205758
150, 0.000552, 0.011758, 1e-06, 0.130964
160, 0.000568, 0.011569, 1e-06, 0.192489
160, 0.000645, 0.011121, 0, 0.167554
170, 0.000568, 0.010944, 0, 0.1349
170, 0.000547, 0.011337, 0, 0.204389
180, 0.000574, 0.012714, 0, 0.192846
180, 0.000579, 0.010992, 1e-06, 0.147501
190, 0.000609, 0.010674, 1e-06, 0.222389
190, 0.000591, 0.011096, 1e-06, 0.193742
200, 0.000662, 0.010816, 1e-06, 0.191968
200, 0.000549, 0.010685, 0, 0.20663
210, 0.001991, 0.015735, 1e-06, 0.169035
210, 0.000641, 0.014814, 1e-06, 0.138123
220, 0.000612, 0.011368, 0, 0.145459
220, 0.000553, 0.011787, 0, 0.202147
230, 0.000613, 0.014266, 1e-06, 0.190624
230, 0.000641, 0.012331, 0, 0.137436
240, 0.000566, 0.011201, 1e-06, 0.198225
240, 0.000652, 0.01194, 1e-06, 0.207355
250, 0.000565, 0.011386, 0, 0.198118
250, 0.000588, 0.011373, 0, 0.167473
260, 0.00067, 0.010909, 1e-06, 0.133691
260, 0.000595, 0.010899, 1e-06, 0.157868
270, 0.000589, 0.01081, 1e-06, 0.13339
270, 0.000551, 0.011774, 1e-06, 0.170929
280, 0.000569, 0.011429, 1e-06, 0.153766
280, 0.000552, 0.011552, 1e-06, 0.191876
290, 0.000599, 0.011041, 0, 0.137147
290, 0.000552, 0.010777, 1e-06, 0.138487
300, 0.000617, 0.011285, 1e-06, 0.219067
310, 0.000591, 0.010985, 0, 0.208065
320, 0.000612, 0.010611, 1e-06, 0.191445
330, 0.000544, 0.221848, 0, 1.46515
340, 0.000886, 0.017159, 0, 0.225071
350, 0.000889, 0.016844, 1e-06, 0.210921
360, 0.000879, 0.016699, 1e-06, 0.206121
370, 0.000549, 0.011, 0, 0.176835
380, 0.000551, 0.011373, 0, 0.130191
390, 0.000641, 0.011697, 0, 0.13196
400, 0.000627, 0.011284, 0, 0.204897
410, 0.00067, 0.01124, 1e-06, 0.169249
420, 0.000689, 0.011533, 0, 0.167556
430, 0.000573, 0.011978, 1e-06, 0.197371
440, 0.000614, 0.01137, 0, 0.190062
450, 0.000573, 0.010984, 1e-06, 0.214513
460, 0.000612, 0.011086, 1e-06, 0.136079
470, 0.000572, 0.011419, 0, 0.13782
480, 0.000615, 0.011066, 1e-06, 0.136062
490, 0.000571, 0.011727, 0, 0.157132
500, 0.000571, 0.010934, 1e-06, 0.152674
510, 0.000627, 0.010763, 1e-06, 0.169497
520, 0.000617, 0.011564, 0, 0.142497
530, 0.000569, 0.011374, 0, 0.193717
540, 0.000671, 0.011409, 1e-06, 0.1399
550, 0.000625, 0.010816, 0, 0.1458
560, 0.000612, 0.011038, 1e-06, 0.135815
570, 0.000571, 0.011424, 0, 0.197436
580, 0.000665, 0.011056, 1e-06, 0.138577
590, 0.00058, 0.010893, 0, 0.135686
610, 0.00063, 0.011013, 0, 0.134549
620, 0.000568, 0.010801, 1e-06, 0.143686
630, 0.000612, 0.01114, 1e-06, 0.134458
640, 0.000545, 0.2009, 0, 1.44939
650, 0.001349, 0.019716, 1e-06, 0.213302
660, 0.000886, 0.016763, 0, 0.20286
670, 0.001455, 0.016887, 1e-06, 0.208608
680, 0.001133, 0.018547, 1e-06, 0.191918
690, 0.000882, 0.017103, 0, 0.212438
700, 0.000651, 0.01091, 1e-06, 0.202683
710, 0.000594, 0.010819, 0, 0.213923
720, 0.000661, 0.016355, 1e-06, 0.209247
730, 0.000593, 0.011011, 1e-06, 0.142306
740, 0.000595, 0.011124, 1e-06, 0.132606
750, 0.000584, 0.011309, 0, 0.150464
760, 0.000597, 0.02348, 1e-06, 0.132681
770, 0.000885, 0.016984, 0, 0.152867
780, 0.00059, 0.011305, 0, 0.210377
790, 0.000641, 0.011432, 1e-06, 0.130831
800, 0.000549, 0.010852, 1e-06, 0.136434
810, 0.000548, 0.011607, 1e-06, 0.131776
820, 0.000593, 0.010977, 0, 0.132799
830, 0.000658, 0.011517, 1e-06, 0.194296
840, 0.000596, 0.011741, 1e-06, 0.1761
850, 0.000592, 0.011566, 0, 0.137452
860, 0.000555, 0.011283, 0, 0.133442
870, 0.000597, 0.011437, 0, 0.202408
880, 0.000552, 0.010806, 1e-06, 0.170552
890, 0.000555, 0.011083, 0, 0.207536
910, 0.000593, 0.011082, 0, 0.210227
920, 0.000604, 0.010764, 0, 0.209715
930, 0.000545, 0.010647, 1e-06, 0.142897
940, 0.00055, 0.011443, 1e-06, 0.195525
950, 0.000543, 0.191139, 0, 1.46544
960, 0.000895, 0.016584, 1e-06, 0.225786
970, 0.000886, 0.016668, 0, 0.205159
980, 0.00058, 0.011561, 1e-06, 0.198362
990, 0.000589, 0.010813, 1e-06, 0.206662
1000, 0.000548, 0.011282, 0, 0.170333
1010, 0.000596, 0.011508, 0, 0.208185
1020, 0.000566, 0.01165, 1e-06, 0.130746
1030, 0.000555, 0.01134, 1e-06, 0.137941
1040, 0.000551, 0.011448, 3e-06, 0.140444
1050, 0.000985, 0.01697, 1e-06, 0.129916
1060, 0.000574, 0.0115, 9e-06, 0.180567
1070, 0.000652, 0.011295, 1e-06, 0.138789
1080, 0.000582, 0.011526, 1e-06, 0.199284
1090, 0.001327, 0.019127, 1e-06, 0.184776
1100, 0.000571, 0.011022, 0, 0.175995
1110, 0.000571, 0.01111, 1e-06, 0.199928
1120, 0.000582, 0.011297, 0, 0.128501
1130, 0.000619, 0.011767, 0, 0.131165
1140, 0.000619, 0.011646, 0, 0.139671
1150, 0.000571, 0.011405, 0, 0.202068
1160, 0.000571, 0.010934, 1e-06, 0.134096
1170, 0.000568, 0.011012, 1e-06, 0.142229
1180, 0.000581, 0.011217, 1e-06, 0.14038
1190, 0.00062, 0.01094, 1e-06, 0.138162
1210, 0.000572, 0.010747, 0, 0.149452
1220, 0.000916, 0.01696, 1e-06, 0.130645
1230, 0.000574, 0.011016, 1e-06, 0.133326
1240, 0.00057, 0.010726, 1e-06, 0.139147
1250, 0.000572, 0.010914, 0, 0.137771
1260, 0.000544, 0.198864, 0, 1.45044
1270, 0.000879, 0.016856, 0, 0.218431
1280, 0.000888, 0.016755, 0, 0.208636
1290, 0.001578, 0.018798, 1e-06, 0.198846
1300, 0.000885, 0.016566, 1e-06, 0.158765
1310, 0.000548, 0.011301, 0, 0.134856
1320, 0.00055, 0.011308, 0, 0.199695
1330, 0.000594, 0.011452, 0, 0.194922
1340, 0.00091, 0.014122, 1e-06, 0.139164
1350, 0.0006, 0.011425, 0, 0.212894
1360, 0.00061, 0.01062, 1e-06, 0.144406
1370, 0.000597, 0.01138, 0, 0.144547
1380, 0.000593, 0.011081, 0, 0.198829
1390, 0.000887, 0.016674, 1e-06, 0.129283
1400, 0.000553, 0.011771, 1e-06, 0.13284
1410, 0.000602, 0.011604, 0, 0.129895
1420, 0.000555, 0.011438, 1e-06, 0.171844
1430, 0.000558, 0.011319, 1e-06, 0.180089
1440, 0.00059, 0.011101, 0, 0.196451
1450, 0.000597, 0.011454, 1e-06, 0.136599
1460, 0.000595, 0.010922, 0, 0.131842
1470, 0.000549, 0.011133, 0, 0.188995
1480, 0.000594, 0.011271, 1e-06, 0.158548
1490, 0.000548, 0.010964, 0, 0.200387
1510, 0.000598, 0.011327, 1e-06, 0.202971
1520, 0.000602, 0.011248, 0, 0.204739
1530, 0.000644, 0.01182, 0, 0.133737
1540, 0.000551, 0.011431, 0, 0.191756
1550, 0.000555, 0.011209, 0, 0.206668
1560, 0.001729, 0.020447, 1e-06, 0.13281
1570, 0.000547, 0.21416, 0, 1.45963
1580, 0.00135, 0.016661, 1e-06, 0.218329
1590, 0.000876, 0.017266, 1e-06, 0.207443
1600, 0.001877, 0.018975, 1e-06, 0.194826
1610, 0.000887, 0.016561, 1e-06, 0.178229
1620, 0.000887, 0.016846, 1e-06, 0.127088
1630, 0.000554, 0.011338, 0, 0.165266
1640, 0.000883, 0.016689, 1e-06, 0.122527
1650, 0.000584, 0.011378, 0, 0.197978
1660, 0.000593, 0.011657, 0, 0.199304
1670, 0.00055, 0.01136, 1e-06, 0.134007
1680, 0.000887, 0.016691, 0, 0.134665
1690, 0.000551, 0.011059, 0, 0.14266
1700, 0.000552, 0.0113, 1e-06, 0.138586
1710, 0.000594, 0.011986, 0, 0.142988
1720, 0.000551, 0.011443, 1e-06, 0.195553
1730, 0.000972, 0.013078, 1e-06, 0.174155
1740, 0.000594, 0.011097, 1e-06, 0.134321
1750, 0.000646, 0.011618, 1e-06, 0.126771
1760, 0.000593, 0.011073, 1e-06, 0.20802
1770, 0.001437, 0.017763, 0, 0.134944
1780, 0.000888, 0.017128, 1e-06, 0.135709
1790, 0.000649, 0.011721, 0, 0.209389
1810, 0.000593, 0.011121, 1e-06, 0.179759
1810, 0.000553, 0.011327, 0, 0.203797
1820, 0.00059, 0.013687, 0, 0.160948
1820, 0.000551, 0.010899, 1e-06, 0.132901
1830, 0.000596, 0.011594, 1e-06, 0.140792
1830, 0.000592, 0.010733, 0, 0.1336
1840, 0.000551, 0.010962, 0, 0.205805
1840, 0.000599, 0.197042, 0, 1.52391
1850, 0.000663, 0.011331, 1e-06, 0.224673
1850, 0.000557, 0.011209, 0, 0.207297
1860, 0.000588, 0.010715, 1e-06, 0.136505
1860, 0.000549, 0.011561, 1e-06, 0.201249
1870, 0.001873, 0.018898, 1e-06, 0.123807
1870, 0.000613, 0.011131, 1e-06, 0.131539
1880, 0.000646, 0.011111, 0, 0.194703
1880, 0.000592, 0.011111, 1e-06, 0.185565
1890, 0.000555, 0.011792, 0, 0.189763
1890, 0.000586, 0.011214, 1e-06, 0.12761
1900, 0.000882, 0.016638, 0, 0.119916
1900, 0.000548, 0.010953, 0, 0.146382
1910, 0.000553, 0.010837, 1e-06, 0.135058
1910, 0.000549, 0.010712, 1e-06, 0.133764
1920, 0.000551, 0.011051, 1e-06, 0.136701
1920, 0.000597, 0.011362, 0, 0.129771
1930, 0.000607, 0.011141, 0, 0.135208
1930, 0.000551, 0.011745, 1e-06, 0.189947
1940, 0.00059, 0.011066, 0, 0.197383
1940, 0.000598, 0.011364, 0, 0.206393
1950, 0.00055, 0.011653, 0, 0.192947
1950, 0.000548, 0.011196, 1e-06, 0.202138
1960, 0.000552, 0.011312, 0, 0.186461
1960, 0.00055, 0.011032, 0, 0.129606
1970, 0.000546, 0.011389, 1e-06, 0.198885
1970, 0.000547, 0.023336, 1e-06, 0.183424
1980, 0.000929, 0.016802, 1e-06, 0.199205
1980, 0.000574, 0.011179, 1e-06, 0.194815
1990, 0.000548, 0.010557, 0, 0.202884
1990, 0.000552, 0.010875, 0, 0.197026
2000, 0.000549, 0.010818, 1e-06, 0.197047
2000, 0.000546, 0.011371, 0, 0.191876
2010, 0.000595, 0.010824, 1e-06, 0.197723
2010, 0.000543, 0.011255, 1e-06, 0.192381
2020, 0.000548, 0.011012, 1e-06, 0.19703
2020, 0.000551, 0.010932, 1e-06, 0.196551
2030, 0.000549, 0.010855, 0, 0.133752
2030, 0.00055, 0.010804, 0, 0.129578
2040, 0.000547, 0.010653, 0, 0.133573
2040, 0.000552, 0.010659, 1e-06, 0.207113
2050, 0.000588, 0.010611, 1e-06, 0.204495
2050, 0.000556, 0.010986, 1e-06, 0.192535
2060, 0.000547, 0.015588, 0, 0.139814
2060, 0.000548, 0.011138, 0, 0.192933
2070, 0.000548, 0.011023, 0, 0.125559
2070, 0.000547, 0.010969, 1e-06, 0.193378
2080, 0.000547, 0.011095, 0, 0.133697
2080, 0.000548, 0.010578, 0, 0.133973
2090, 0.00055, 0.010549, 0, 0.204303
2090, 0.000593, 0.010782, 0, 0.196469
2100, 0.000546, 0.010593, 0, 0.201445
2110, 0.000548, 0.014754, 0, 0.195982
2110, 0.0017, 0.014503, 0, 0.132972
2120, 0.000551, 0.011146, 1e-06, 0.136348
2120, 0.000589, 0.010722, 0, 0.127592
2130, 0.000645, 0.011294, 1e-06, 0.193414
2130, 0.000592, 0.011065, 0, 0.193021
2140, 0.000551, 0.011058, 0, 0.200934
2140, 0.000648, 0.015839, 1e-06, 0.126152
2150, 0.000646, 0.208552, 1e-06, 1.46776
2150, 0.001941, 0.022601, 1e-06, 0.213858
2160, 0.000879, 0.016465, 0, 0.202596
2160, 0.000615, 0.01065, 1e-06, 0.206077
2170, 0.000543, 0.010669, 0, 0.144835
2170, 0.000566, 0.01167, 0, 0.19336
2180, 0.000542, 0.011088, 0, 0.197186
2180, 0.000664, 0.010629, 0, 0.207516
2190, 0.000888, 0.016706, 1e-06, 0.19612
2190, 0.000673, 0.011199, 0, 0.139486
2200, 0.000552, 0.011085, 0, 0.135585
2200, 0.000648, 0.011586, 0, 0.134622
2210, 0.000549, 0.011051, 1e-06, 0.133378
2210, 0.000684, 0.010887, 1e-06, 0.142593
2220, 0.00059, 0.010875, 0, 0.135131
2220, 0.000587, 0.010841, 1e-06, 0.210675
2230, 0.000595, 0.011594, 1e-06, 0.195054
2230, 0.000565, 0.01135, 0, 0.203214
2240, 0.000592, 0.011181, 0, 0.200567
2240, 0.000565, 0.011521, 1e-06, 0.194546
2250, 0.000598, 0.01118, 1e-06, 0.195878
2250, 0.000604, 0.011185, 0, 0.203217
2260, 0.00059, 0.011038, 0, 0.139984
2260, 0.000662, 0.010772, 1e-06, 0.133867
2270, 0.000679, 0.011674, 1e-06, 0.131615
2270, 0.00093, 0.016578, 0, 0.126382
2280, 0.000567, 0.011212, 0, 0.197766
2280, 0.000662, 0.011742, 0, 0.209276
2290, 0.000551, 0.011434, 0, 0.202894
2290, 0.001561, 0.021176, 1e-06, 0.191351
2300, 0.000591, 0.011556, 0, 0.149541
2300, 0.000664, 0.010972, 0, 0.29652
2310, 0.000663, 0.010912, 0, 0.143174
2310, 0.000663, 0.011378, 1e-06, 0.195851
2320, 0.000587, 0.011429, 1e-06, 0.137172
2320, 0.000912, 0.016634, 1e-06, 0.138089
2330, 0.000886, 0.016587, 1e-06, 0.132704
2330, 0.000659, 0.018137, 1e-06, 0.126481
2340, 0.000885, 0.016719, 0, 0.194282
2340, 0.000611, 0.011026, 1e-06, 0.176243
2350, 0.000653, 0.022852, 1e-06, 0.14178
2350, 0.000911, 0.016432, 1e-06, 0.134352
2360, 0.000648, 0.020749, 1e-06, 0.125582
2360, 0.000669, 0.011783, 0, 0.141101
2370, 0.000881, 0.016667, 0, 0.1368
2370, 0.000664, 0.011251, 1e-06, 0.175057
2380, 0.000596, 0.011202, 1e-06, 0.14518
2380, 0.000659, 0.011942, 1e-06, 0.131231
2390, 0.000643, 0.021132, 1e-06, 0.194303
2390, 0.000695, 0.011265, 1e-06, 0.189227
