Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
220, 0.000542, 0.001014, 0.00079425, 0.011368, 0.190039, 0.0964097, 0, 0.01493, 0.00124467, 0.003956, 0.192736, 0.086105
220, 0.000525, 0.000977, 0.000686, 0.011085, 0.197519, 0.110302, 0, 0.01555, 0.00129608, 0.003617, 0.205069, 0.0866195
230, 0.000545, 0.001022, 0.000746667, 0.010805, 0.195174, 0.114806, 0, 0.016868, 0.00140617, 0.003784, 0.201142, 0.0845492
230, 0.000526, 0.001022, 0.000745083, 0.01221, 0.194783, 0.107156, 0, 0.015152, 0.00126308, 0.006497, 0.202033, 0.0871302
240, 0.000548, 0.001086, 0.00079925, 0.011058, 0.197492, 0.104714, 0, 0.016352, 0.00136333, 0.003722, 0.205691, 0.0908762
240, 0.000522, 0.001032, 0.000718833, 0.011059, 0.198248, 0.108957, 0, 0.015511, 0.00129342, 0.005547, 0.207355, 0.0928281
250, 0.00054, 0.001065, 0.000755833, 0.010935, 0.19268, 0.103824, 0, 0.015901, 0.00132567, 0.003097, 0.201413, 0.0867579
250, 0.000588, 0.001006, 0.0007785, 0.010532, 0.199199, 0.107877, 0, 0.015841, 0.00132058, 0.00278, 0.204009, 0.087217
260, 0.000542, 0.001057, 0.000738083, 0.010909, 0.171384, 0.0901928, 0, 0.014999, 0.0012505, 0.003937, 0.176794, 0.0792452
260, 0.000523, 0.001005, 0.00073225, 0.010899, 0.198348, 0.107079, 0, 0.015401, 0.00128383, 0.003798, 0.206773, 0.092439
270, 0.000539, 0.001855, 0.000887, 0.01081, 0.197665, 0.0969328, 0, 0.015236, 0.00127008, 0.003532, 0.196037, 0.0968247
270, 0.000527, 0.001092, 0.000776917, 0.011156, 0.187337, 0.100149, 0, 0.01542, 0.00128542, 0.003059, 0.191331, 0.0840687
280, 0.000545, 0.001059, 0.000797833, 0.010991, 0.156283, 0.0905155, 0, 0.015052, 0.00125467, 0.003629, 0.164011, 0.0656289
280, 0.000529, 0.000991, 0.000730167, 0.011435, 0.196813, 0.110213, 0, 0.015524, 0.00129417, 0.003549, 0.200903, 0.0900353
290, 0.000588, 0.001063, 0.000793583, 0.011041, 0.185271, 0.0964933, 0, 0.015017, 0.00125183, 0.003141, 0.193189, 0.0862223
290, 0.000523, 0.000996, 0.00073675, 0.010777, 0.184964, 0.0967549, 0, 0.024278, 0.00202408, 0.003197, 0.189355, 0.0850408
300, 0.000542, 0.001003, 0.000768583, 0.01099, 0.200092, 0.103695, 0, 0.023458, 0.00195525, 0.00363, 0.219067, 0.0963195
310, 0.000524, 0.000985, 0.000711917, 0.010968, 0.198466, 0.112751, 0, 0.024045, 0.00200417, 0.003848, 0.216713, 0.0898015
320, 0.000548, 0.001029, 0.00079075, 0.010611, 0.175544, 0.0971338, 0, 0.023435, 0.0019535, 0.00342, 0.191445, 0.0806319
330, 0.000522, 0.000777, 0.000591083, 0.212447, 0.4932, 0.363514, 0, 0.023874, 0.00198958, 1.13471, 1.4697, 1.2825
340, 0.000847, 0.001672, 0.00104658, 0.016815, 0.205323, 0.121551, 0, 0.023366, 0.00194758, 0.004432, 0.225071, 0.0930376
350, 0.000849, 0.001001, 0.000929667, 0.016615, 0.198855, 0.120763, 0, 0.023346, 0.00194608, 0.004524, 0.210921, 0.0853775
360, 0.000524, 0.001, 0.000874833, 0.011684, 0.197775, 0.108991, 0, 0.02338, 0.00194917, 0.004639, 0.206121, 0.0894858
370, 0.000522, 0.000992, 0.000803583, 0.011, 0.196277, 0.103853, 0, 0.015283, 0.00127417, 0.004373, 0.214378, 0.0920042
380, 0.000551, 0.001015, 0.0008005, 0.011373, 0.197181, 0.101772, 0, 0.014842, 0.00123725, 0.004565, 0.197236, 0.090059
390, 0.00053, 0.001008, 0.000771667, 0.011165, 0.191179, 0.0933334, 0, 0.015142, 0.00126275, 0.00412, 0.183715, 0.0916406
400, 0.000525, 0.001162, 0.000797417, 0.011155, 0.195751, 0.0936652, 0, 0.015464, 0.00128933, 0.004135, 0.204897, 0.0937911
410, 0.000533, 0.000986, 0.00075175, 0.010958, 0.197302, 0.0977455, 0, 0.015752, 0.00131317, 0.003642, 0.265062, 0.145248
420, 0.000526, 0.000987, 0.0007555, 0.011533, 0.192589, 0.0905078, 0, 0.014878, 0.00124025, 0.004591, 0.185451, 0.0931957
430, 0.000526, 0.001024, 0.000762667, 0.011978, 0.190723, 0.0937743, 0, 0.023363, 0.00194742, 0.004714, 0.198358, 0.104038
440, 0.000529, 0.001006, 0.0007585, 0.010792, 0.199906, 0.106893, 0, 0.023397, 0.00195, 0.004755, 0.214318, 0.0966462
450, 0.000526, 0.000991, 0.00075525, 0.010906, 0.198044, 0.102665, 0, 0.018306, 0.00152608, 0.00453, 0.215681, 0.0960794
460, 0.000528, 0.000955, 0.000669, 0.011086, 0.187062, 0.0905428, 0, 0.014882, 0.00124083, 0.003994, 0.195601, 0.0896297
470, 0.000529, 0.000945, 0.000714667, 0.011202, 0.198269, 0.0972111, 0, 0.015099, 0.00125858, 0.003459, 0.200409, 0.0959122
480, 0.000528, 0.001056, 0.00072575, 0.011066, 0.199714, 0.0971551, 0, 0.01532, 0.00127708, 0.003916, 0.207728, 0.0957453
490, 0.000571, 0.000986, 0.000706583, 0.010927, 0.197518, 0.0981857, 0, 0.023374, 0.00194817, 0.004236, 0.20807, 0.0933647
500, 0.000531, 0.001136, 0.000728667, 0.010822, 0.189052, 0.0964656, 0, 0.023326, 0.0019445, 0.004402, 0.199935, 0.0945087
510, 0.000548, 0.00099, 0.000810333, 0.010763, 0.19872, 0.100845, 0, 0.015783, 0.00131575, 0.00417, 0.186665, 0.092232
520, 0.000547, 0.00101, 0.0007775, 0.011564, 0.196929, 0.0897796, 0, 0.014935, 0.001245, 0.003524, 0.18814, 0.0990532
530, 0.000543, 0.001067, 0.000734167, 0.011088, 0.188752, 0.0896947, 0, 0.015975, 0.00133175, 0.003762, 0.193717, 0.0895867
