Calculation time
0.000114
6.3e-05
6.3e-05
0.000118
6.4e-05
0.000113
0.000119
0.000113
0.000109
0.000111
6.5e-05
6.4e-05
0.000115
6.3e-05
0.000121
0.000111
0.000112
0.000121
0.00011
6.3e-05
0.00011
6.3e-05
0.000114
0.000113
