Index,Entropy
0,2.73234
1,2.74632
2,2.9417
3,2.77351
4,2.71197
5,2.77545
6,2.9485
7,2.75029
8,2.72902
9,2.75184
10,2.95072
11,2.79049
12,2.73303
13,2.78442
14,2.95177
15,2.74545
16,2.70372
17,2.85666
18,3.07903
19,3.0123
20,2.9823
21,3.01745
22,3.07529
23,2.84344
24,2.69949
25,2.91736
26,3.12824
27,3.00848
28,2.95123
29,3.00928
30,3.13128
31,2.91365
32,2.51873
33,2.84485
34,3.21216
35,3.26719
36,3.18345
37,3.27489
38,3.20571
39,2.83885
40,2.58444
41,2.86914
42,3.13872
43,3.19092
44,3.11891
45,3.19159
46,3.13139
47,2.87634
48,2.7042
49,2.9689
50,3.29133
51,3.45688
52,3.40855
53,3.47334
54,3.28366
55,2.98066
56,2.68408
57,2.95201
58,3.18153
59,3.28222
60,3.11139
61,3.27792
62,3.17387
63,2.95447
64,2.42428
65,2.98299
66,3.18856
67,3.40938
68,2.99895
69,3.4142
70,3.15481
71,3.03758
72,2.45405
73,2.95619
74,3.1304
75,3.12105
76,2.5996
77,3.11406
78,3.11848
79,2.95288
80,2.6968
81,2.96515
82,3.28464
83,3.47633
84,3.41163
85,3.48445
86,3.27743
87,3.01612
88,2.68143
89,2.95714
90,3.18422
91,3.29181
92,3.12371
93,3.2894
94,3.17862
95,2.9551
96,2.58217
97,2.83045
98,3.21354
99,3.25491
100,3.15673
101,3.2554
102,3.19351
103,2.84065
104,2.60897
105,2.87492
106,3.14327
107,3.195
108,3.12738
109,3.19226
110,3.14322
111,2.8753
112,2.6865
113,2.82842
114,3.05414
115,3.06716
116,3.03604
117,3.0776
118,3.05823
119,2.82571
120,2.6794
121,2.91408
122,3.12757
123,3.01316
124,2.95474
125,3.00981
126,3.12615
127,2.91798
128,2.75072
129,2.76768
130,2.95382
131,2.77977
132,2.71416
133,2.77221
134,2.95405
135,2.75789
136,2.75311
137,2.78022
138,2.99326
139,2.82507
140,2.76761
141,2.82467
142,2.99073
143,2.78152
