Time step, Pipe time, Rend time, Save time, Comp time
10, 3.6e-05, 0.260501, 0, 1.0575
10, 0.000721, 0.420898, 0, 1.16044
20, 0.000968, 0.197867, 1e-06, 0.024801
20, 0.00093, 0.19799, 1e-06, 0.023843
30, 0.000956, 0.191749, 1e-06, 0.035284
30, 0.000679, 0.190576, 1e-06, 0.010826
40, 0.00097, 0.162082, 1e-06, 0.040353
40, 0.000926, 0.190612, 0, 0.0187
50, 0.000961, 0.135346, 0, 0.064936
50, 0.000702, 0.125142, 1e-06, 0.077282
60, 0.000957, 0.193085, 1e-06, 0.003982
60, 0.000711, 0.123284, 1e-06, 0.076461
70, 0.000741, 0.123444, 1e-06, 0.083732
70, 0.000705, 0.123493, 0, 0.07848
80, 0.000727, 0.125056, 0, 0.076896
80, 0.000716, 0.164401, 0, 0.031896
90, 0.000728, 0.198259, 1e-06, 0.003547
90, 0.000929, 0.131662, 0, 0.069429
100, 0.00069, 0.197801, 1e-06, 0.004407
100, 0.000934, 0.175827, 1e-06, 0.025256
110, 0.000733, 0.187302, 1e-06, 0.015818
110, 0.000707, 0.134017, 1e-06, 0.093641
120, 0.000734, 0.181817, 0, 0.019394
120, 0.001028, 0.130912, 1e-06, 0.068507
130, 0.000737, 0.198764, 0, 0.004223
130, 0.000946, 0.128145, 0, 0.10526
140, 0.000966, 0.19124, 1e-06, 0.032478
140, 0.000707, 0.131796, 1e-06, 0.073676
150, 0.000792, 0.124982, 1e-06, 0.081797
150, 0.000742, 0.132652, 1e-06, 0.071398
160, 0.000734, 0.192002, 1e-06, 0.016013
160, 0.000988, 0.195762, 1e-06, 0.00297
170, 0.001052, 0.123422, 0, 0.077507
170, 0.000781, 0.133238, 1e-06, 0.071464
180, 0.000971, 0.176443, 0, 0.027103
180, 0.000692, 0.125884, 1e-06, 0.097584
190, 0.000733, 0.192458, 0, 0.015007
190, 0.000903, 0.126021, 1e-06, 0.066494
200, 0.000731, 0.124868, 0, 0.070103
200, 0.000978, 0.190595, 1e-06, 0.010146
210, 0.000738, 0.124983, 1e-06, 0.045159
210, 0.000717, 0.125514, 1e-06, 0.026591
220, 0.00075, 0.123453, 0, 0.070909
220, 0.000939, 0.184164, 0, 0.016794
230, 0.000974, 0.18995, 0, 0.008803
230, 0.000712, 0.124485, 0, 0.076227
240, 0.000964, 0.131781, 1e-06, 0.069306
240, 0.000713, 0.19628, 1e-06, 0.007424
250, 0.000967, 0.156233, 1e-06, 0.039216
250, 0.000935, 0.131905, 0, 0.070112
260, 0.000731, 0.171384, 0, 0.003937
260, 0.000938, 0.193981, 0, 0.008016
270, 0.001013, 0.129124, 0, 0.071568
270, 0.000991, 0.187337, 0, 0.003059
280, 0.00074, 0.123794, 0, 0.036157
280, 0.000939, 0.191295, 0, 0.008866
290, 0.000693, 0.133101, 0, 0.055672
290, 0.000945, 0.184964, 1e-06, 0.003197
300, 0.000969, 0.188716, 0, 0.014856
310, 0.000705, 0.173933, 0, 0.028482
320, 0.000712, 0.124237, 0, 0.055009
330, 0.000602, 0.477163, 0, 1.13593
340, 0.000952, 0.19472, 1e-06, 0.015047
350, 0.000948, 0.198671, 0, 0.004604
360, 0.00094, 0.123629, 1e-06, 0.078955
370, 0.000956, 0.191055, 0, 0.009142
380, 0.000709, 0.197181, 0, 0.004565
390, 0.000934, 0.129973, 0, 0.06568
400, 0.000711, 0.126821, 0, 0.072137
410, 0.00094, 0.178717, 1e-06, 0.098257
420, 0.00094, 0.192589, 1e-06, 0.004591
430, 0.000711, 0.121974, 0, 0.089497
440, 0.000739, 0.199906, 0, 0.010444
450, 0.000944, 0.130006, 0, 0.072572
460, 0.000718, 0.187062, 1e-06, 0.003994
470, 0.000935, 0.156539, 0, 0.045004
480, 0.000982, 0.199095, 1e-06, 0.004163
490, 0.00063, 0.197518, 0, 0.004236
500, 0.000736, 0.189052, 0, 0.004402
510, 0.000714, 0.125976, 1e-06, 0.077061
520, 0.00072, 0.124613, 0, 0.075563
530, 0.000713, 0.131263, 1e-06, 0.061668
540, 0.000843, 0.124426, 0, 0.073009
550, 0.000717, 0.130316, 1e-06, 0.062595
560, 0.000716, 0.165485, 0, 0.027047
570, 0.000991, 0.19204, 0, 0.004033
580, 0.000723, 0.199484, 0, 0.002979
590, 0.000943, 0.124669, 0, 0.078272
610, 0.000989, 0.191009, 1e-06, 0.008951
620, 0.00072, 0.124902, 1e-06, 0.071241
630, 0.000956, 0.203976, 0, 0.003693
640, 0.000803, 0.455774, 0, 1.13394
650, 0.000947, 0.191994, 1e-06, 0.013193
660, 0.000971, 0.200104, 0, 0.004331
670, 0.000753, 0.197418, 1e-06, 0.004666
680, 0.000963, 0.190579, 0, 0.010753
690, 0.000751, 0.198056, 0, 0.011021
700, 0.000696, 0.124182, 1e-06, 0.074346
710, 0.000967, 0.191601, 0, 0.01248
720, 0.000963, 0.19303, 1e-06, 0.008116
730, 0.000731, 0.125324, 1e-06, 0.079078
740, 0.000735, 0.15787, 1e-06, 0.043707
750, 0.000968, 0.197571, 1e-06, 0.00394
760, 0.000728, 0.122859, 0, 0.06597
770, 0.000733, 0.128793, 1e-06, 0.028795
780, 0.001007, 0.125373, 1e-06, 0.080764
790, 0.000726, 0.125367, 0, 0.078114
800, 0.000739, 0.198935, 1e-06, 0.003567
810, 0.000732, 0.123775, 0, 0.081116
820, 0.000744, 0.127292, 1e-06, 0.076966
830, 0.000731, 0.123496, 0, 0.070193
840, 0.00088, 0.123827, 1e-06, 0.080048
850, 0.000735, 0.123502, 1e-06, 0.073838
860, 0.000732, 0.126244, 0, 0.061398
870, 0.000881, 0.121558, 0, 0.079916
880, 0.001026, 0.191503, 0, 0.003706
890, 0.000975, 0.12901, 1e-06, 0.070226
910, 0.000745, 0.192307, 0, 0.006432
920, 0.000739, 0.200381, 1e-06, 0.003915
930, 0.001016, 0.195156, 0, 0.009263
940, 0.000977, 0.19869, 1e-06, 0.003745
950, 0.00062, 0.466692, 0, 1.13541
960, 0.000979, 0.198195, 1e-06, 0.00772
970, 0.000973, 0.190745, 0, 0.011529
980, 0.001028, 0.198697, 0, 0.004742
990, 0.000988, 0.134113, 0, 0.063536
1000, 0.000762, 0.198541, 0, 0.004218
1010, 0.001029, 0.159252, 1e-06, 0.044213
1020, 0.00104, 0.123417, 1e-06, 0.081215
1030, 0.000795, 0.124855, 0, 0.068586
1040, 0.000764, 0.197711, 0, 0.003518
1050, 0.000741, 0.125185, 1e-06, 0.068568
1060, 0.000991, 0.191722, 1e-06, 0.007119
1070, 0.001, 0.191104, 0, 0.005413
1080, 0.00099, 0.190499, 1e-06, 0.009064
1090, 0.000981, 0.202041, 0, 0.003672
1100, 0.001027, 0.195173, 0, 0.003551
1110, 0.000985, 0.193874, 1e-06, 0.002984
1120, 0.000745, 0.125397, 1e-06, 0.008897
1130, 0.00075, 0.191472, 0, 0.00588
1140, 0.000746, 0.198461, 0, 0.003892
1150, 0.001028, 0.191638, 0, 0.009932
1160, 0.000978, 0.125646, 1e-06, 0.076597
1170, 0.001048, 0.124629, 1e-06, 0.074227
1180, 0.000751, 0.120799, 1e-06, 0.075531
1190, 0.000693, 0.123001, 0, 0.08264
1210, 0.000984, 0.139504, 0, 0.058871
1220, 0.000745, 0.124905, 0, 0.072787
1230, 0.000744, 0.12468, 1e-06, 0.059969
1240, 0.000987, 0.185521, 0, 0.003079
1250, 0.000745, 0.126258, 0, 0.037921
1260, 0.000643, 0.519846, 0, 1.12463
1270, 0.001015, 0.191297, 0, 0.013405
1280, 0.000993, 0.195575, 1e-06, 0.006089
1290, 0.001012, 0.199049, 0, 0.007683
1300, 0.001129, 0.197866, 1e-06, 0.004562
1310, 0.000987, 0.16807, 1e-06, 0.034767
1320, 0.000757, 0.125335, 0, 0.07979
1330, 0.001031, 0.191863, 0, 0.004968
1340, 0.001006, 0.12881, 0, 0.074323
1350, 0.00072, 0.127082, 0, 0.075541
1360, 0.000986, 0.194717, 0, 0.00617
1370, 0.00099, 0.182442, 1e-06, 0.003929
1380, 0.001031, 0.199004, 1e-06, 0.003599
1390, 0.000749, 0.121627, 1e-06, 0.081223
1400, 0.000757, 0.13632, 0, 0.065508
1410, 0.001046, 0.133683, 1e-06, 0.063896
1420, 0.001034, 0.178348, 0, 0.003974
1430, 0.001041, 0.127185, 1e-06, 0.070347
1440, 0.000937, 0.129106, 1e-06, 0.066366
1450, 0.001004, 0.196432, 0, 0.003628
1460, 0.001039, 0.193127, 0, 0.003735
1470, 0.001042, 0.191583, 1e-06, 0.003651
1480, 0.00076, 0.126106, 1e-06, 0.063747
1490, 0.000752, 0.126474, 1e-06, 0.071845
